geneA	geneB	combined_score
ACAD9	NDUFA11	0.717
ADAMTSL5	FBN1	0.771
ADSL	IMPDH2	0.879
ADSL	FH	0.709
ADSL	AK2	0.964
AK2	RRM2	0.785
AK2	ADSL	0.964
ALDH18A1	OAT	0.998
ALDH18A1	MTHFD1	0.726
ANAPC13	UBE2S	0.986
ANAPC13	BUB1B	0.959
ANAPC13	PCGF6	0.9
ANAPC13	CDC20	0.996
ANAPC13	BRCA1	0.905
ANLN	TRIP13	0.748
ANLN	AURKA	0.741
ANLN	NCAPH	0.707
ANLN	DLGAP5	0.914
ANLN	KIF23	0.989
ANLN	DEPDC1B	0.74
ANLN	CDC20	0.701
ANLN	TTK	0.704
ANLN	SHCBP1	0.743
ANLN	KIF4A	0.782
ANLN	RRM2	0.785
ANLN	CDCA8	0.789
ANLN	BUB1B	0.8
ANLN	PBK	0.811
ANLN	KIF2C	0.821
ANLN	KIF14	0.828
ANLN	MELK	0.831
ANLN	DEPDC1	0.847
ANLN	TOP2A	0.861
ANLN	HMMR	0.88
ANLN	NUF2	0.897
APOA1	FN1	0.845
ARHGAP9	PLEK2	0.712
ARHGEF12	RND1	0.746
ARHGEF12	LSP1	0.919
ATG4D	GABARAPL1	0.993
ATOX1	SLC31A2	0.815
ATOX1	SLC31A1	0.885
AURKA	TRIP13	0.771
AURKA	UBE2S	0.704
AURKA	KIF2A	0.719
AURKA	KIF15	0.725
AURKA	ANLN	0.741
AURKA	TUBG1	0.745
AURKA	ESPL1	0.773
AURKA	TTK	0.779
AURKA	DEPDC1	0.782
AURKA	ZWINT	0.787
AURKA	PBK	0.791
AURKA	NCAPH	0.814
AURKA	MYBL2	0.84
AURKA	KIF4A	0.885
AURKA	RRM2	0.892
AURKA	NUF2	0.893
AURKA	MELK	0.913
AURKA	CPEB3	0.913
AURKA	KIF23	0.924
AURKA	BUB1B	0.924
AURKA	BRCA1	0.942
AURKA	FN1	0.945
AURKA	CDCA8	0.952
AURKA	TOP2A	0.963
AURKA	DLGAP5	0.966
AURKA	HMMR	0.97
AURKA	KIF2C	0.975
AURKA	CDC20	0.995
AURKA	MYCN	0.998
BCL2L1	BNIP1	0.787
BCL2L1	USP14	0.743
BCL2L1	CYCS	0.998
BCL2L1	BID	0.999
BCL2L1	PARP1	0.796
BCL2L1	FASLG	0.728
BCL2L1	JUN	0.706
BCL2L1	CTSO	0.902
BID	FASLG	0.867
BID	CTSO	0.901
BID	BCL2L1	0.999
BNIP1	ZW10	0.965
BNIP1	VAMP2	0.773
BNIP1	BCL2L1	0.787
BRCA1	AURKA	0.942
BRCA1	RAD51AP1	0.854
BRCA1	TUBG1	0.928
BRCA1	RPA1	0.96
BRCA1	KIF23	0.713
BRCA1	UBE2S	0.963
BRCA1	MYCN	0.728
BRCA1	OLA1	0.868
BRCA1	BUB1B	0.905
BRCA1	RAD54B	0.882
BRCA1	PARP1	0.974
BRCA1	PCGF6	0.907
BRCA1	JUN	0.794
BRCA1	KIF2C	0.706
BRCA1	CDC20	0.766
BRCA1	RPA2	0.881
BRCA1	HMMR	0.964
BRCA1	MAP3K1	0.77
BRCA1	TOP2A	0.836
BRCA1	UBE2E3	0.775
BRCA1	ANAPC13	0.905
BUB1B	TRIP13	0.928
BUB1B	ZW10	0.928
BUB1B	AURKA	0.924
BUB1B	OIP5	0.837
BUB1B	RAD51AP1	0.747
BUB1B	NCAPH	0.915
BUB1B	DLGAP5	0.981
BUB1B	ESPL1	0.989
BUB1B	KIF23	0.926
BUB1B	UBE2S	0.896
BUB1B	DEPDC1B	0.797
BUB1B	ANLN	0.8
BUB1B	NUF2	0.98
BUB1B	PCGF6	0.74
BUB1B	KIF2A	0.741
BUB1B	SHCBP1	0.769
BUB1B	MCM7	0.792
BUB1B	DTL	0.811
BUB1B	ERCC6L	0.824
BUB1B	DEPDC1	0.85
BUB1B	CENPK	0.869
BUB1B	KIF14	0.878
BUB1B	HMMR	0.882
BUB1B	DSN1	0.903
BUB1B	BRCA1	0.905
BUB1B	JUN	0.914
BUB1B	RRM2	0.922
BUB1B	KIF15	0.923
BUB1B	PBK	0.937
BUB1B	MELK	0.953
BUB1B	ANAPC13	0.959
BUB1B	KIF4A	0.968
BUB1B	TOP2A	0.98
BUB1B	KIF2C	0.991
BUB1B	TTK	0.991
BUB1B	CDCA8	0.994
BUB1B	ZWINT	0.996
BUB1B	CDC20	0.999
BYSL	RBM28	0.872
BYSL	WDR74	0.822
BYSL	NOP2	0.915
BYSL	RIOK1	0.955
BYSL	DHX15	0.969
BYSL	EMG1	0.999
CALML6	PVALB	0.774
CALML6	CAMK1	0.946
CALML6	EPB41	0.808
CAMK1	CALML6	0.946
CCL24	CCR2	0.935
CCL24	CCR1	0.934
CCL24	CXCR4	0.85
CCNB3	CDC20	0.741
CCR1	CCR2	0.992
CCR1	GNG2	0.822
CCR1	CCL24	0.934
CCR1	CXCR4	0.939
CCR2	GNG2	0.876
CCR2	CCL24	0.935
CCR2	CXCR4	0.989
CCR2	CCR1	0.992
CD70	TNFRSF4	0.994
CDC20	TRIP13	0.996
CDC20	ZW10	0.801
CDC20	MCM5	0.862
CDC20	AURKA	0.995
CDC20	MYBL2	0.865
CDC20	RAD51AP1	0.737
CDC20	GMNN	0.889
CDC20	NCAPH	0.838
CDC20	DLGAP5	0.981
CDC20	ESPL1	0.988
CDC20	KIF23	0.797
CDC20	UBE2S	0.999
CDC20	MCM2	0.733
CDC20	ANLN	0.701
CDC20	NUF2	0.962
CDC20	BUB1B	0.999
CDC20	MELK	0.964
CDC20	MCM7	0.821
CDC20	KIF15	0.836
CDC20	ERCC6L	0.9
CDC20	RRM2	0.907
CDC20	TTK	0.99
CDC20	KIF2C	0.995
CDC20	DSN1	0.731
CDC20	CCNB3	0.741
CDC20	DEPDC1	0.761
CDC20	BRCA1	0.766
CDC20	CENPK	0.78
CDC20	PCNA	0.798
CDC20	KIF2A	0.878
CDC20	HMMR	0.882
CDC20	TK1	0.883
CDC20	KIF4A	0.941
CDC20	PBK	0.959
CDC20	ZWINT	0.968
CDC20	TOP2A	0.98
CDC20	CDCA8	0.992
CDC20	ANAPC13	0.996
CDCA8	TRIP13	0.736
CDCA8	AURKA	0.952
CDCA8	OIP5	0.856
CDCA8	NCAPH	0.908
CDCA8	DLGAP5	0.961
CDCA8	ESPL1	0.972
CDCA8	KIF23	0.954
CDCA8	ANLN	0.789
CDCA8	NUF2	0.926
CDCA8	BUB1B	0.994
CDCA8	MELK	0.902
CDCA8	SHCBP1	0.818
CDCA8	KIF15	0.902
CDCA8	ERCC6L	0.753
CDCA8	RRM2	0.861
CDCA8	KIF14	0.83
CDCA8	TTK	0.946
CDCA8	KIF20B	0.714
CDCA8	KIF2C	0.977
CDCA8	CDC20	0.992
CDCA8	TK1	0.704
CDCA8	DEPDC1	0.772
CDCA8	ZWINT	0.78
CDCA8	HMMR	0.864
CDCA8	PBK	0.912
CDCA8	TOP2A	0.92
CDCA8	KIF4A	0.932
CENPK	OIP5	0.734
CENPK	NUF2	0.793
CENPK	BUB1B	0.869
CENPK	CDC20	0.78
CENPK	PBK	0.816
CHAC2	GGT1	0.907
CHAC2	GGT7	0.907
CLP1	POP1	0.903
COL4A3	ITGB4	0.829
COL4A3	ITGA9	0.709
CPEB3	AURKA	0.913
CTSO	BID	0.901
CTSO	BCL2L1	0.902
CXCR4	CCR2	0.989
CXCR4	GNG3	0.911
CXCR4	CCR1	0.939
CXCR4	GNG2	0.917
CXCR4	FN1	0.857
CXCR4	FOXP3	0.731
CXCR4	SPP1	0.753
CXCR4	CCL24	0.85
CYCS	SLC25A31	0.95
CYCS	JUN	0.829
CYCS	FASLG	0.84
CYCS	PARP1	0.892
CYCS	BCL2L1	0.998
DCTPP1	RRM2	0.922
DDB1	KAT2A	0.758
DDB1	RPA1	0.739
DDB1	DTL	0.999
DDX21	DHX15	0.838
DDX21	NOP2	0.761
DDX60	USP18	0.79
DDX60	HERC5	0.874
DDX60	PARP9	0.883
DDX60	IFIT5	0.832
DEPDC1	AURKA	0.782
DEPDC1	OIP5	0.737
DEPDC1	RAD51AP1	0.715
DEPDC1	DLGAP5	0.881
DEPDC1	KIF23	0.865
DEPDC1	DEPDC1B	0.798
DEPDC1	ANLN	0.847
DEPDC1	NUF2	0.898
DEPDC1	BUB1B	0.85
DEPDC1	MELK	0.751
DEPDC1	SHCBP1	0.78
DEPDC1	KIF15	0.854
DEPDC1	KIF14	0.873
DEPDC1	TTK	0.931
DEPDC1	KIF20B	0.704
DEPDC1	KIF2C	0.83
DEPDC1	CDC20	0.761
DEPDC1	CDCA8	0.772
DEPDC1	KIF4A	0.797
DEPDC1	HMMR	0.907
DEPDC1	TOP2A	0.733
DEPDC1	PBK	0.849
DEPDC1B	OIP5	0.774
DEPDC1B	RAD51AP1	0.722
DEPDC1B	NCAPH	0.704
DEPDC1B	DLGAP5	0.878
DEPDC1B	ANLN	0.74
DEPDC1B	PBK	0.741
DEPDC1B	BUB1B	0.797
DEPDC1B	DEPDC1	0.798
DEPDC1B	NUF2	0.81
DEPDC1B	HMMR	0.812
DEPDC1B	KIF15	0.817
DEPDC1B	KIF14	0.822
DGKD	PLEK2	0.703
DHCR7	PAG1	0.769
DHCR7	SOAT1	0.942
DHX15	RBM28	0.797
DHX15	BYSL	0.969
DHX15	NUDCD1	0.794
DHX15	SF3B4	0.961
DHX15	EMG1	0.773
DHX15	DDX21	0.838
DHX15	NOP2	0.876
DKK4	WNT5B	0.778
DLGAP5	TRIP13	0.789
DLGAP5	AURKA	0.966
DLGAP5	OIP5	0.856
DLGAP5	RAD51AP1	0.884
DLGAP5	NCAPH	0.818
DLGAP5	SHCBP1	0.74
DLGAP5	DTL	0.756
DLGAP5	TK1	0.811
DLGAP5	ESPL1	0.82
DLGAP5	DEPDC1B	0.878
DLGAP5	DEPDC1	0.881
DLGAP5	ANLN	0.914
DLGAP5	ZWINT	0.92
DLGAP5	KIF14	0.933
DLGAP5	KIF15	0.937
DLGAP5	RRM2	0.95
DLGAP5	KIF23	0.951
DLGAP5	CDCA8	0.961
DLGAP5	KIF4A	0.962
DLGAP5	NUF2	0.964
DLGAP5	KIF2C	0.975
DLGAP5	TTK	0.977
DLGAP5	TOP2A	0.978
DLGAP5	PBK	0.979
DLGAP5	CDC20	0.981
DLGAP5	BUB1B	0.981
DLGAP5	MELK	0.982
DLGAP5	HMMR	0.999
DNAJC5	VAMP2	0.949
DOCK4	NOP10	0.748
DOCK4	WDR74	0.8
DPEP2	DPEP3	0.702
DPEP3	DPEP2	0.702
DSN1	ZW10	0.804
DSN1	NUF2	0.991
DSN1	BUB1B	0.903
DSN1	CDC20	0.731
DSN1	ZWINT	0.998
DTL	DLGAP5	0.756
DTL	MCM2	0.772
DTL	NUF2	0.816
DTL	BUB1B	0.811
DTL	MELK	0.842
DTL	DDB1	0.999
DTL	KIF15	0.807
DTL	USP1	0.704
DTL	RRM2	0.88
DTL	KIF4A	0.728
DTL	TTK	0.787
DTL	ZWINT	0.819
DTL	TOP2A	0.822
DTL	PBK	0.873
DTL	PCNA	0.995
DUT	MCM5	0.732
DUT	MCM7	0.853
DUT	RRM2	0.761
DUT	PCNA	0.805
DUT	TK1	0.752
EDEM1	HYOU1	0.795
